keys,en,fr,es
,Texts of interior interaction,Textes d’interaction intérieur,Textos de interacción interior
EMPTY_BASKET,This basket is empty.,Cette corbeille est vide.,El cesto de basura está vacío.
EMPTY_BUCKET,This bucket is empty.,Ce seau est vide.,Este cubo está vacío.
BUCKET_ALCHEMY,[color=green]PLAYER_NAME:[color=black] The alchemical ingredients thrown into this bucket are past their prime.,[color=green]PLAYER_NAME:[color=black] Les ingrédients alchimiques jetés dans ce seau ne sont plus de la première fraicheur.,[color=green]PLAYER_NAME:[color=black] Los ingredientes alquímicos arrojados a este cubo ya no son los más frescos.
,Nothing like a little water to cool off when you wake up.,Rien de tel qu’un peu d’eau pour se rafraîchir au réveil.,Nada como un poco de agua para refrescarte al despertar.
,This bucket is filled with edible plants.,Ce seau est rempli de plantes comestibles.,Este cubo está lleno de plantas comestibles.
,This bucket is filled with medicinal herbs.,Ce seau est rempli d’herbes médicinales.,Este cubo está lleno de hierbas medicinales.
,This bowl is filled with medicinal herbs.,Ce bol est rempli d’herbes médicinales.,Este cuenco está lleno de hierbas medicinales.
,This cauldron is empty.,Ce chaudron est vide.,Este caldero está vacío.
,Looks like there are traces of burning in that cauldron.,On dirait qu’il a des traces de brûlé dans ce chaudron.,Parece que hay rastros de quemado en ese caldero.
,This cauldron is used for cooking.,Ce chaudron sert à la cuisson.,Este caldero se usa para cocinar.
,\C[3]\N[1]:\C[0] It smells good! I wonder what is cooking in this cauldron.,\C[3]\N[1] :\C[0] Ça sent bon ! Je me demande ce qui cuit dans ce chaudron.,\C[3]\N[1]:\C[0] ¡Huele bien! Me pregunto qué se está cocinando en este caldero.
,This jar is empty.,Cette jarre est vide.,Esta jarra está vacía.
,This jar is filled with water.,Cette jarre est remplie d’eau.,Esta jarra está llena de agua.
,This jar is filled with water. It is used for cooking.,Cette jarre est remplie d’eau. Elle est utilisée pour la cuisine.,Esta jarra está llena de agua. Se utiliza para cocinar.
,This jar is full of berry oil. Enough to season meals or to light up.,Cette jarre est pleine d’huile de Baie. De quoi assaisonner les plats ou s’éclairer.,Esta jarra está llena de aceite de baya. Para condimentar los platos o iluminar.
,This jar contains oil for local consumption.,Cette jarre contient de l’huile destinée à la consommation locale.,Esta jarra contiene aceite para consumo local.
,This jar contains oil for export.,Cette jarre contient de l’huile destinée à l’exportation.,Esta jarra contiene aceite para exportación.
,This jar is full of wine. It’s a luxury product.,Cette jarre est remplie de vin. C’est un produit de luxe.,Esta jarra está llena de vino. Es un producto lujoso.
,This jar contains wine for local consumption.,Cette jarre contient du vin destiné à la consommation locale.,Esta jarra contiene vino para consumo local.
,This jar contains wine for export.,Cette jarre contient du vin destiné à l’exportation.,Esta jarra contiene vino para exportación.
,\C[3]\N[1]:\C[0] This jar smells strong! Is it an alchemical brew?,\C[3]\N[1] :\C[0] Cette jarre sent fort ! C’est un breuvage alchimique ?,\C[3]\N[1]:\C[0] ¡Esta jarra huele fuerte! ¿Es un brebaje alquímico?
,What could possibly be in this jar?,Que peut-il bien y avoir dans cette jarre ?,¿Qué podría haber en esta jarra?
,This barrel is empty.,Ce tonneau est vide.,Este barril está vacío.
,This barrel is filled with water.,Ce tonneau est rempli d’eau.,Este barril está lleno de agua.
,Food has been placed in this barrel.,De la nourriture a été placée dans ce tonneau.,Se ha colocado comida en este barril.
,Various tools were placed in this barrel.,Divers outils ont été placés dans ce tonneau.,Varias herramientas estaban colocadas en este barril.
,What could possibly be in this barrel?,Que peut-il bien y avoir dans ce tonneau ?,¿Qué podría haber en este barril?
,This crate is empty.,Cette caisse est vide.,Esta caja está vacía.
,This crate contains flour.,Cette caisse contient de la farine.,Esta caja contiene harina.
,There are non-perishable goods in that crate.,Il a des denrées non périssables dans cette caisse.,Tiene alimentos no perecibles en esa caja.
,There are clothes in this crate.,Il y a des vêtements dans cette caisse.,Hay ropa en esta caja.
,There are metal utensils in that crate.,Il y a des ustensiles métalliques dans cette caisse.,Hay algunos utensilios de metal en la caja.
,There are plenty of goods in this crate.,Il y a plein de marchandises dans cette caisse.,Hay muchos productos en esta caja.
